JobDescription,Company,Experience,Salary,Location,JobDetails,Skills
Data Scientist - Python/machine Learning,Anbiya Technologies,5-10 Yrs,Not disclosed,Bengaluru,"Preferred Qualifications: - Masters in computer science, statistics, engineering, mathe...","Tensorflow
NLP
Data Scientist
Data Mining
Data Analytics
Machine Learning
Python"
Data Scientist,Hire IT People,2-6 Yrs,Not disclosed,Pune,Job Description Urgent Requirement - Data Scientist Pune: Baner Position: Full Time (Pe...,"Computer science
Statistical analysis
spark
Machine learning
Hadoop
big data
Statistics
Supervision"
"Vacancy For Data Scientist at Quantzig, Bangalore",Quantzig,4-8 Yrs,Not disclosed,Bengaluru(Marathahalli),You should possess customer-centric thought process and is able to understand clients b...,"digital analytics
python
consulting
regression analysis
presentation skills
powerbi
machine learning
sql"
Data Scientist - Nlp/machine Learning,Global Gene Corp,4-9 Yrs,Not disclosed,"Mumbai, Ahmedabad",Relevant certification(s) is a plusME / MSc/MTech / PhD or higher with a minimum of 4 y...,"data mining
Perl
CUDA
scripting
Theano
R
NLP
MXNet"
Data Scientist - Python/ R/sql/machine Learning/spark/scala,Analytics Jobs,0-5 Yrs,"8,00,000 - 18,00,000 PA.","Delhi NCR, Mumbai, Bengaluru",Bachelors Degree with 0-10 years of experience in Data ScienceProficiency in Python or ...,"python
data analytics
big data analytics
big data mining
lead data scientist
business analytics
machine learning
sql"
Senior Data Scientist-- Oracle India/hyderabad,Oracle India Pvt. Ltd.,4-6 Yrs,Not disclosed,Hyderabad,Minimum 2-3 years of relevant experienceGood to have: Required Skills: Oracle Content a...,"python
tensorflow
natural language processing
data science
Data Scientist
machine learning
opencv
artificial intelligence"
Data Scientist,Wcities Content Solutions Pvt. Ltd.,2-6 Yrs,Not disclosed,Mumbai,Wcities looking for Data Scientists for Mumbai location ( Malad ) with advanced degree ...,"Artificial Intelligence
data research
Data Mining
Data Analyst
Machine Learning
SQL
Data Science
R"
Data Scientist - Python/ SQL,Catalyst,2-7 Yrs,Not disclosed,Bengaluru,"Being the first data scientist of the company, you shall be responsible for building ro...","Data Science
Java
R
NLP
Algorithms
Data Scientist
Machine Learning
Statistical Analysis"
Jr Data Scientist,BIRLASOFT LIMITED,4-6 Yrs,Not disclosed,Noida,Jr Data Scientist-(204863)DescriptionJr. Data Scientist.Location- NoidaExp-4-6 Yrsadvan...,"Supervised Learning
Hive
NLP
Artificial Intelligence
Natural Language Processing
Hadoop
Spark
Machine Learning"
Data Scientist - Agritech,Snaphunt,1-5 Yrs,Not disclosed,Pune,"You possess an advanced degree from a top-tier institute, ideally in Mathematics, Stati...","R
Business Solutions
NoSQL
Computer Science
Data Analytics
Strong Analytical Skills
Statistical Analysis
SQL"
Specialist Data Scientist,NICE Ltd,4-8 Yrs,Not disclosed,Pune,Primary Skills Supervised and Unsupervised machine learning models NLP Text Analytics -...,"Unix
data cleansing
Linux
Data modeling
Machine learning
linear regression
Windows
Analytics"
Data Scientist,Capgemini Technology Services India Limited,9-12 Yrs,Not disclosed,Mumbai,Bachelor or Masters degree Minimum 3 years of experience and skilled in Python (incl Ex...,"deep learning
SAS
data science
spark
Analytical
Manager Technology
Deployment
Data analytics"
